196
(196, 1, 512)
x: torch.Size([64, 1, 512])
y: torch.Size([64, 1, 512])
y_hat: torch.Size([64, 1, 512])
codes: torch.Size([64, 128])
vq_loss: 0.019025206565856934
Epoch 001 | lr 1.00e-04 | lambda_vq 0.015 | train 0.048923 | val 0.025209 | recon 0.010688 | vq 0.968079 | skipped 0
Epoch 002 | lr 1.00e-04 | lambda_vq 0.030 | train 0.071158 | val 0.120300 | recon 0.009024 | vq 3.709193 | skipped 0
Epoch 003 | lr 1.00e-04 | lambda_vq 0.045 | train 0.278592 | val 0.386635 | recon 0.007469 | vq 8.425920 | skipped 0
Epoch 004 | lr 1.00e-04 | lambda_vq 0.060 | train 0.484005 | val 0.514184 | recon 0.007159 | vq 8.450424 | skipped 0
Epoch 005 | lr 1.00e-04 | lambda_vq 0.075 | train 0.716516 | val 0.910667 | recon 0.007229 | vq 12.045848 | skipped 0
Epoch 006 | lr 1.00e-04 | lambda_vq 0.090 | train 1.355232 | val 1.956348 | recon 0.009355 | vq 21.633252 | skipped 0
Epoch 007 | lr 1.00e-04 | lambda_vq 0.105 | train 1.848627 | val 2.522429 | recon 0.008159 | vq 23.945431 | skipped 0
Epoch 008 | lr 1.00e-04 | lambda_vq 0.120 | train 1.932884 | val 2.284738 | recon 0.007354 | vq 18.978195 | skipped 0
Epoch 009 | lr 1.00e-04 | lambda_vq 0.135 | train 1.732041 | val 1.326742 | recon 0.006871 | vq 9.776823 | skipped 0
Epoch 010 | lr 1.00e-04 | lambda_vq 0.150 | train 0.859491 | val 0.770547 | recon 0.005692 | vq 5.099032 | skipped 0
Epoch 011 | lr 1.00e-04 | lambda_vq 0.150 | train 0.618767 | val 0.677789 | recon 0.005522 | vq 4.481776 | skipped 0
Epoch 012 | lr 5.00e-05 | lambda_vq 0.150 | train 0.576024 | val 0.631476 | recon 0.005535 | vq 4.172936 | skipped 0
Epoch 013 | lr 5.00e-05 | lambda_vq 0.150 | train 0.537910 | val 0.604874 | recon 0.005346 | vq 3.996851 | skipped 0
Epoch 014 | lr 5.00e-05 | lambda_vq 0.150 | train 0.500009 | val 0.479274 | recon 0.003374 | vq 3.172666 | skipped 0
Epoch 015 | lr 5.00e-05 | lambda_vq 0.150 | train 0.302048 | val 0.279058 | recon 0.002615 | vq 1.842953 | skipped 0
Epoch 016 | lr 5.00e-05 | lambda_vq 0.150 | train 0.198868 | val 0.208030 | recon 0.002260 | vq 1.371799 | skipped 0
Early stopping.
