196
(196, 1, 512)
x: torch.Size([64, 1, 512])
y: torch.Size([64, 1, 512])
y_hat: torch.Size([64, 1, 512])
codes: torch.Size([64, 128])
vq_loss: 0.025388848036527634
Epoch 001 | lr 1.00e-04 | lambda_vq 0.015 | train 0.064831 | val 0.093761 | recon 0.048593 | vq 3.011188 | skipped 0
Epoch 002 | lr 1.00e-04 | lambda_vq 0.030 | train 0.334387 | val 0.345601 | recon 0.008529 | vq 11.235758 | skipped 0
Epoch 003 | lr 1.00e-04 | lambda_vq 0.045 | train 0.318282 | val 0.215351 | recon 0.011138 | vq 4.538083 | skipped 0
Epoch 004 | lr 1.00e-04 | lambda_vq 0.060 | train 0.368848 | val 0.516048 | recon 0.010420 | vq 8.427134 | skipped 0
Epoch 005 | lr 1.00e-04 | lambda_vq 0.075 | train 0.602831 | val 0.339660 | recon 0.005725 | vq 4.452470 | skipped 0
Epoch 006 | lr 1.00e-04 | lambda_vq 0.090 | train 0.419819 | val 0.653054 | recon 0.005747 | vq 7.192294 | skipped 0
Epoch 007 | lr 1.00e-04 | lambda_vq 0.105 | train 0.824179 | val 1.016314 | recon 0.006029 | vq 9.621758 | skipped 0
Epoch 008 | lr 1.00e-04 | lambda_vq 0.120 | train 0.799253 | val 0.711969 | recon 0.005895 | vq 5.883949 | skipped 0
Epoch 009 | lr 1.00e-04 | lambda_vq 0.135 | train 0.643310 | val 0.825950 | recon 0.005569 | vq 6.076897 | skipped 0
Epoch 010 | lr 1.00e-04 | lambda_vq 0.150 | train 0.814067 | val 1.101543 | recon 0.006664 | vq 7.299192 | skipped 0
Epoch 011 | lr 1.00e-04 | lambda_vq 0.150 | train 1.062377 | val 1.337471 | recon 0.006059 | vq 8.876074 | skipped 0
Epoch 012 | lr 5.00e-05 | lambda_vq 0.150 | train 1.184940 | val 1.351154 | recon 0.005536 | vq 8.970790 | skipped 0
Epoch 013 | lr 5.00e-05 | lambda_vq 0.150 | train 1.044130 | val 0.962966 | recon 0.006056 | vq 6.379403 | skipped 0
Epoch 014 | lr 5.00e-05 | lambda_vq 0.150 | train 0.931078 | val 1.105756 | recon 0.005442 | vq 7.335422 | skipped 0
Epoch 015 | lr 5.00e-05 | lambda_vq 0.150 | train 0.823769 | val 0.898147 | recon 0.004999 | vq 5.954317 | skipped 0
Epoch 016 | lr 5.00e-05 | lambda_vq 0.150 | train 0.842692 | val 0.943165 | recon 0.005222 | vq 6.252950 | skipped 0
Early stopping.
