196
(196, 1, 512)
x: torch.Size([64, 1, 512])
y: torch.Size([64, 1, 512])
y_hat: torch.Size([64, 1, 512])
codes: torch.Size([64, 128])
vq_loss: 0.027604952454566956
Epoch 001 | lr 1.00e-04 | lambda_vq 0.015 | train 0.038946 | val 0.014332 | recon 0.009223 | vq 0.340629 | skipped 0
Epoch 002 | lr 1.00e-04 | lambda_vq 0.030 | train 0.034916 | val 0.053161 | recon 0.008568 | vq 1.486421 | skipped 0
Epoch 003 | lr 1.00e-04 | lambda_vq 0.045 | train 0.163491 | val 0.401238 | recon 0.008701 | vq 8.723051 | skipped 0
Epoch 004 | lr 1.00e-04 | lambda_vq 0.060 | train 5.735792 | val 15.510573 | recon 0.051395 | vq 257.652978 | skipped 0
Epoch 005 | lr 1.00e-04 | lambda_vq 0.075 | train 40.410112 | val 69.533657 | recon 0.051314 | vq 926.431194 | skipped 0
Epoch 006 | lr 1.00e-04 | lambda_vq 0.090 | train 118.140496 | val 105.799463 | recon 0.012679 | vq 1175.408669 | skipped 0
Epoch 007 | lr 1.00e-04 | lambda_vq 0.105 | train 51.657116 | val 10.690952 | recon 0.022941 | vq 101.600110 | skipped 0
Epoch 008 | lr 1.00e-04 | lambda_vq 0.120 | train 3.755817 | val 0.444276 | recon 0.009730 | vq 3.621215 | skipped 0
Epoch 009 | lr 1.00e-04 | lambda_vq 0.135 | train 0.260299 | val 0.151751 | recon 0.008394 | vq 1.061902 | skipped 0
Epoch 010 | lr 1.00e-04 | lambda_vq 0.150 | train 0.143628 | val 0.091452 | recon 0.007802 | vq 0.557667 | skipped 0
Epoch 011 | lr 1.00e-04 | lambda_vq 0.150 | train 0.165847 | val 0.094765 | recon 0.007792 | vq 0.579815 | skipped 0
Epoch 012 | lr 5.00e-05 | lambda_vq 0.150 | train 0.187433 | val 0.105847 | recon 0.012025 | vq 0.625484 | skipped 0
Epoch 013 | lr 5.00e-05 | lambda_vq 0.150 | train 0.121331 | val 0.091494 | recon 0.005199 | vq 0.575299 | skipped 0
Epoch 014 | lr 5.00e-05 | lambda_vq 0.150 | train 0.075714 | val 0.073731 | recon 0.004703 | vq 0.460185 | skipped 0
Epoch 015 | lr 5.00e-05 | lambda_vq 0.150 | train 0.070848 | val 0.071221 | recon 0.004682 | vq 0.443593 | skipped 0
Epoch 016 | lr 5.00e-05 | lambda_vq 0.150 | train 0.068617 | val 0.073830 | recon 0.004877 | vq 0.459689 | skipped 0
Early stopping.
