196
(196, 1, 512)
x: torch.Size([64, 1, 512])
y: torch.Size([64, 1, 512])
y_hat: torch.Size([64, 1, 512])
codes: torch.Size([64, 128])
vq_loss: 0.018125541508197784
Epoch 001 | lr 1.00e-04 | lambda_vq 0.015 | train 0.061479 | val 0.075265 | recon 0.033951 | vq 2.754314 | skipped 0
Epoch 002 | lr 1.00e-04 | lambda_vq 0.030 | train 0.209737 | val 0.234840 | recon 0.008577 | vq 7.542121 | skipped 0
Epoch 003 | lr 1.00e-04 | lambda_vq 0.045 | train 0.266542 | val 0.189274 | recon 0.010457 | vq 3.973719 | skipped 0
Epoch 004 | lr 1.00e-04 | lambda_vq 0.060 | train 0.242023 | val 0.322389 | recon 0.011949 | vq 5.173997 | skipped 0
Epoch 005 | lr 1.00e-04 | lambda_vq 0.075 | train 0.396295 | val 0.313688 | recon 0.005618 | vq 4.107594 | skipped 0
Epoch 006 | lr 1.00e-04 | lambda_vq 0.090 | train 0.366500 | val 0.428192 | recon 0.005544 | vq 4.696085 | skipped 0
Epoch 007 | lr 1.00e-04 | lambda_vq 0.105 | train 0.505420 | val 0.673560 | recon 0.007969 | vq 6.338961 | skipped 0
Epoch 008 | lr 1.00e-04 | lambda_vq 0.120 | train 0.893487 | val 1.234724 | recon 0.007789 | vq 10.224461 | skipped 0
Epoch 009 | lr 1.00e-04 | lambda_vq 0.135 | train 1.375113 | val 1.559861 | recon 0.006385 | vq 11.507226 | skipped 0
Epoch 010 | lr 1.00e-04 | lambda_vq 0.150 | train 1.646939 | val 1.968489 | recon 0.006628 | vq 13.079075 | skipped 0
Epoch 011 | lr 1.00e-04 | lambda_vq 0.150 | train 2.261859 | val 3.323985 | recon 0.007371 | vq 22.110754 | skipped 0
Epoch 012 | lr 5.00e-05 | lambda_vq 0.150 | train 2.897452 | val 3.601436 | recon 0.029713 | vq 23.811489 | skipped 0
Epoch 013 | lr 5.00e-05 | lambda_vq 0.150 | train 3.168503 | val 3.564161 | recon 0.012668 | vq 23.676621 | skipped 0
Epoch 014 | lr 5.00e-05 | lambda_vq 0.150 | train 3.193260 | val 3.621332 | recon 0.007128 | vq 24.094690 | skipped 0
Epoch 015 | lr 5.00e-05 | lambda_vq 0.150 | train 3.213775 | val 3.633991 | recon 0.012625 | vq 24.142442 | skipped 0
Epoch 016 | lr 5.00e-05 | lambda_vq 0.150 | train 2.644268 | val 1.853254 | recon 0.006815 | vq 12.309595 | skipped 0
Early stopping.
