196
(196, 1, 512)
x: torch.Size([64, 1, 512])
y: torch.Size([64, 1, 512])
y_hat: torch.Size([64, 1, 512])
codes: torch.Size([64, 128])
vq_loss: 0.026447856798768044
Epoch 001 | lr 1.00e-04 | lambda_vq 0.015 | train 0.058783 | val 0.056130 | recon 0.024466 | vq 2.110957 | skipped 0
Epoch 002 | lr 1.00e-04 | lambda_vq 0.030 | train 0.120965 | val 0.155547 | recon 0.008321 | vq 4.907534 | skipped 0
Epoch 003 | lr 1.00e-04 | lambda_vq 0.045 | train 0.246480 | val 0.269998 | recon 0.008073 | vq 5.820556 | skipped 0
Epoch 004 | lr 1.00e-04 | lambda_vq 0.060 | train 0.361162 | val 0.403550 | recon 0.008231 | vq 6.588651 | skipped 0
Epoch 005 | lr 1.00e-04 | lambda_vq 0.075 | train 0.492035 | val 0.410872 | recon 0.005581 | vq 5.403886 | skipped 0
Epoch 006 | lr 1.00e-04 | lambda_vq 0.090 | train 0.526629 | val 0.734695 | recon 0.006319 | vq 8.093069 | skipped 0
Epoch 007 | lr 1.00e-04 | lambda_vq 0.105 | train 0.953117 | val 1.292658 | recon 0.005726 | vq 12.256496 | skipped 0
Epoch 008 | lr 1.00e-04 | lambda_vq 0.120 | train 1.326442 | val 1.456003 | recon 0.006007 | vq 12.083299 | skipped 0
Epoch 009 | lr 1.00e-04 | lambda_vq 0.135 | train 1.391957 | val 1.599507 | recon 0.006740 | vq 11.798274 | skipped 0
Epoch 010 | lr 1.00e-04 | lambda_vq 0.150 | train 1.526653 | val 1.906012 | recon 0.006791 | vq 12.661477 | skipped 0
Epoch 011 | lr 1.00e-04 | lambda_vq 0.150 | train 1.111983 | val 1.854857 | recon 0.011782 | vq 12.287172 | skipped 0
Epoch 012 | lr 5.00e-05 | lambda_vq 0.150 | train 1.706348 | val 2.079222 | recon 0.012366 | vq 13.779040 | skipped 0
Epoch 013 | lr 5.00e-05 | lambda_vq 0.150 | train 1.882579 | val 2.055477 | recon 0.005765 | vq 13.664746 | skipped 0
Epoch 014 | lr 5.00e-05 | lambda_vq 0.150 | train 1.601162 | val 1.582834 | recon 0.005078 | vq 10.518374 | skipped 0
Epoch 015 | lr 5.00e-05 | lambda_vq 0.150 | train 1.263744 | val 1.294248 | recon 0.004855 | vq 8.595953 | skipped 0
Epoch 016 | lr 5.00e-05 | lambda_vq 0.150 | train 1.054254 | val 1.114870 | recon 0.005369 | vq 7.396670 | skipped 0
